trade_date,trades,wins,losses,gross_pnl,day_pnl
2026-06-01,3,2,0,73.69999999999999,73.69999999999999
2026-06-02,3,0,3,-44.7,-44.7
2026-06-03,2,1,1,91.09999999999997,91.09999999999997
2026-06-04,1,1,0,47.14999999999998,47.14999999999998
2026-06-05,2,1,0,78.1,78.1
2026-06-08,2,0,1,-2.200000000000017,-2.200000000000017
2026-06-09,3,1,2,17.69999999999999,17.69999999999999
2026-06-11,3,2,1,26.900000000000006,26.900000000000006
2026-06-12,4,0,3,-25.600000000000023,-25.600000000000023
2026-06-15,2,1,1,16.700000000000003,16.700000000000003
2026-06-16,4,0,3,-38.4,-38.4
2026-06-17,3,0,3,-39.64999999999998,-39.64999999999998
2026-06-18,4,0,3,-34.150000000000006,-34.150000000000006
