trade_date,trades,wins,losses,gross_pnl,day_pnl
2026-06-01,3,2,0,73.69999999999999,73.69999999999999
2026-06-02,1,0,1,-4.0,-4.0
2026-06-03,1,0,1,-4.550000000000011,-4.550000000000011
2026-06-04,1,1,0,47.14999999999998,47.14999999999998
2026-06-05,2,1,0,78.1,78.1
2026-06-08,1,0,1,-17.5,-17.5
2026-06-09,2,1,1,23.749999999999986,23.749999999999986
2026-06-11,1,0,1,-20.25,-20.25
2026-06-12,3,0,2,-26.200000000000017,-26.200000000000017
2026-06-15,1,0,1,-15.849999999999994,-15.849999999999994
2026-06-16,1,0,1,-15.649999999999999,-15.649999999999999
2026-06-17,2,0,2,-28.0,-28.0
2026-06-18,3,0,2,-23.700000000000017,-23.700000000000017
